trade_date,h.1,h.2,h.3,h.4,h.5
2016-03-08,1.4922350184250046,1.4881192010094237,1.4840789947354693,1.480113010560781,1.4762198849609132
2016-03-09,1.4431596186048183,1.4399145056770735,1.4367292659065614,1.4336027946183334,1.430534007518974
2016-03-10,1.3845777291755115,1.3823467063806314,1.380157282436092,1.378008681704659,1.3759001430113522
2016-03-11,1.324391258280179,1.3232086339770592,1.322048444846368,1.320910265277909,1.3197936777355952
2016-03-14,1.2657926912979376,1.2657704076707335,1.2657485626798,1.2657271476909153,1.2657061542398158
2016-03-15,1.2208897788370707,1.2217122841475712,1.2225184998710963,1.2233087486203276,1.2240833466186538
2016-03-16,1.1688198964659504,1.170645050270136,1.172433608316844,1.1741863043795582,1.1759038575190317
2016-03-17,1.2381683580679634,1.2386298552785946,1.2390823306013259,1.239525960406587,1.2399609176169115
2016-03-18,1.2142433447916474,1.215151292166844,1.2160413614426586,1.216913904650989,1.2177692668919862
2016-03-21,1.16384592836809,1.16573709471854,1.1675905129059634,1.1694069363933286,1.1711871036042907
2016-03-22,1.1889227215090667,1.1903144127231426,1.1916785210216907,1.1930155930900825,1.1943261647785453
2016-03-23,1.142910299659508,1.1452231160769508,1.1474895224014745,1.1497104499204518,1.1518868112335923
2016-03-24,1.0954852773423212,1.098760842850106,1.1019696396283278,1.1051130286826631,1.1081923432762126
2016-03-28,1.048322957030046,1.0526079761280462,1.0568036342827205,1.0609117950512688,1.0649342831277668
2016-03-29,1.0336521881318632,1.0382622336748117,1.0427754993376759,1.0471940168455443,1.0515197752709742
2016-03-30,0.9926618344201117,0.9982107033442259,1.0036406088848855,1.008954101523422,1.0141536770608546
2016-03-31,0.9537266347542523,0.9601892634824435,0.9665110189262571,0.9726949718612375,0.9787441261257347
2016-04-01,0.9374401419209276,0.9444915966509193,0.9513856333243944,0.9581257661728791,0.9647154309755068
2016-04-04,0.8957614417474125,0.904113615349331,0.912270459653564,0.920236542756556,0.9280163259223131
2016-04-05,0.8610890966580517,0.8703454613096099,0.8793822591922936,0.8882046985674245,0.8968178641531025
2016-04-06,0.8322413550405737,0.8423110607216209,0.8521380073763586,0.8617280474047199,0.8710868921178162
2016-04-07,0.8676376363184213,0.8766451267520263,0.8854404894512379,0.894028720055633,0.9024146965567363
2016-04-08,0.8482259788868275,0.8578389232694115,0.8672215553640996,0.876379393121256,0.8853178222891095
2016-04-11,0.8186342843631623,0.8291202533184121,0.8393502323749286,0.8493304709149607,0.8590670657570093
2016-04-12,0.7926100809882592,0.8041058514486622,0.8153116690878615,0.8262348472598262,0.8368825148569773
2016-04-13,0.7837520899873814,0.7955402473088967,0.8070288740988436,0.8182255812616996,0.8291377863130861
2016-04-14,0.7556276200872083,0.7683807330105108,0.7808026701220803,0.7929020314726601,0.8046871937848697
2016-04-15,0.7454253318644604,0.7586387292254674,0.7715035185906247,0.7840288972565435,0.7962238198683008
2016-04-18,0.7197719464505955,0.7339431449923601,0.7477323867957407,0.7611499667521373,0.7742059022744342
2016-04-19,0.7028859246528613,0.7179627067152963,0.7326202575390836,0.7468702344414628,0.7607239705914888
2016-04-20,0.7849699580022884,0.7974643215564754,0.8096198084342023,0.8214456097720445,0.8329506674212253
2016-04-21,0.9493392116556482,0.9574553930584088,0.9653515076367555,0.973033522409512,0.9805072426023117
2016-04-22,0.9112737383607082,0.9204245629381936,0.9293261464389241,0.937985277443952,0.9464085596336977
2016-04-25,0.8875772894156987,0.8978747881093827,0.907876981347143,0.9175923377207118,0.9270290829646557
2016-04-26,0.8784041444402796,0.8881780654130154,0.897696171099523,0.906965157017482,0.915991543441107
2016-04-27,0.8555042654306141,0.8658591271840295,0.8759429366385425,0.885762788949114,0.8953255935455734
2016-04-28,1.1469988381365617,1.1499684848367484,1.1528588390303534,1.155672017905795,1.158410082120465
2016-04-29,1.0989062166260126,1.1030333999656676,1.1070526609135154,1.1109668215498216,1.1147786301598128
2016-05-02,1.2523581666422205,1.2526107633904662,1.2528562399722274,1.253094797089893,1.253326629788477
2016-05-03,1.2170740853160542,1.218262102079603,1.2194171576587411,1.2205401665520779,1.2216320178857205
2016-05-04,1.1534664239303225,1.1562806295804313,1.1590190397658653,1.161683695898369,1.1642765844080074
2016-05-05,1.1178532353663748,1.1215390737154767,1.1251271956653386,1.128620191805611,1.1320205840460218
2016-05-06,1.0756955515347604,1.080415557571384,1.0850116410293664,1.0894870554650327,1.0938449690134004
2016-05-09,1.0292132103770115,1.0350200162357814,1.0406773955522155,1.0461891935197123,1.0515591563833038
2016-05-10,1.0006097000301797,1.007112879983597,1.013449362537822,1.0196234206828527,1.0256392178782232
2016-05-11,0.9661558674394517,0.9735138535854059,0.980683194571513,0.9876687269108663,0.9944751631173059
2016-05-12,0.9631571681532436,0.9706872626441821,0.9780214045469922,0.9851646930562242,0.9921220946721621
2016-05-13,1.0211549329051288,1.0272598261170336,1.0332044360826196,1.0389929710194852,1.0446295286589755
2016-05-16,0.9867648934962542,0.9935372419181107,1.000137832692293,1.006571021868977,1.0128410550219005
2016-05-17,1.08332303246016,1.0877574352110126,1.0920780203288838,1.0962877091662768,1.1003893480934603
2016-05-18,1.0914315850989493,1.0956544838825473,1.0997702002728698,1.1037814546916025,1.1076908985127647
2016-05-19,1.0508516988182803,1.0560697675363921,1.061155940770726,1.0661135524019916,1.070945852041443
2016-05-20,1.026067276818851,1.031877797329856,1.0375418576418571,1.0430631494361506,1.048445271341375
2016-05-23,0.9843149956798795,0.9911801995672422,0.9978717933405745,1.0043941673242114,1.0107516008181516
2016-05-24,0.9978630444102656,1.0044075846961793,1.0107861205311837,1.0170028626736387,1.0230619150746119
